"","Year_season","site","depth","2016_Fall","2016_Spring","2017_Fall","2017_Spring","2018_Fall","2018_Spring","2019_Fall","2019_Spring","2020_Fall","2020_Spring","2021_Fall","2021_Spring","2022_Fall","2022_Spring","2023_Spring"
"1","2016_Fall","Achziv","10",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016_Spring","Achziv","10",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2017_Fall","Achziv","10",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2017_Spring","Achziv","10",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2018_Fall","Achziv","10",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2018_Spring","Achziv","10",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019_Fall","Achziv","10",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019_Spring","Achziv","10",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"9","2020_Fall","Achziv","10",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"10","2020_Spring","Achziv","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
"11","2021_Fall","Achziv","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
"12","2021_Spring","Achziv","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"13","2022_Fall","Achziv","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
"14","2022_Spring","Achziv","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
"15","2023_Spring","Achziv","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"16","2016_Fall","SdotYam","10",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016_Spring","SdotYam","10",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2017_Fall","SdotYam","10",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2017_Spring","SdotYam","10",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2018_Fall","SdotYam","10",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2018_Spring","SdotYam","10",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019_Fall","SdotYam","10",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019_Spring","SdotYam","10",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"24","2020_Fall","SdotYam","10",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"25","2020_Spring","SdotYam","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
"26","2021_Fall","SdotYam","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
"27","2021_Spring","SdotYam","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
